year,school_code,longitude,latitude
2017,04-07-2088-43,-90.993759,14.631599
2017,04-07-3165-43,-90.992569,14.636307
2017,04-08-0002-43,-91.097366,14.536749
2017,04-08-0417-43,-91.091187,14.54259
2017,04-09-0003-43,-90.954987,14.683648
2017,04-09-0005-43,-90.929016,14.629344
2017,04-09-0449-43,-90.941841,14.62141
2017,04-09-2352-43,-90.97036,14.661288
2017,04-11-0471-43,-90.928436,14.544319
2017,04-12-0013-43,-90.959106,14.495996
2017,04-12-0016-43,-91.042549,14.483657
2017,04-12-0017-43,-90.992035,14.473742
2017,04-12-0480-43,-90.93895,14.429727
2017,04-12-0481-43,-90.967888,14.407495
2017,04-12-0484-43,-91.045349,14.481194
2017,04-12-2060-43,-91.048828,14.436978
2017,04-12-3274-43,-91.016594,14.47698
2017,04-13-0491-43,-90.836151,14.624561
2017,04-13-0497-43,-90.864357,14.577573
2017,04-13-0498-43,-90.867691,14.549541
2017,04-13-2726-43,-90.855797,14.566053
2017,04-13-2829-43,-90.839012,14.632106
2017,04-14-0505-43,-90.802177,14.610747
2017,04-15-0519-43,-90.872177,14.659669
2017,04-15-0520-43,-90.896133,14.679546
2017,04-16-0660-43,-90.792084,14.644341
2017,04-16-2462-43,-90.788414,14.635084
2017,05-01-0035-43,-90.76664,14.27818
2017,05-01-0047-43,-90.769493,14.291145
2017,05-01-0058-43,-90.7854,14.317362
2017,05-01-0062-43,-90.788345,14.305839
2017,05-01-0065-43,-90.785744,14.316319
2017,05-01-0147-43,-90.857819,14.384193
2017,05-01-0148-43,-90.787079,14.275384
2017,05-01-0239-43,-90.913307,14.413423
2017,05-01-0577-43,-90.767723,14.331011
2017,05-01-2042-43,-90.78672,14.295955
2017,05-01-2967-43,-90.896721,14.399652
2017,05-02-0016-43,-91.01989,14.332505
2017,05-02-0070-43,-91.027756,14.333608
2017,05-02-0160-43,-91.081604,14.241265
2017,05-02-0161-43,-91.132065,14.374837
2017,05-02-0168-43,-90.984184,14.218825
2017,05-02-0170-43,-91.062874,14.282219
2017,05-02-0174-43,-91.016991,14.352985
2017,05-02-0178-43,-91.025742,14.34368
2017,05-02-0179-43,-91.087769,14.248992
2017,05-02-0180-43,-91.108757,14.315712
2017,05-02-0767-43,-91.022453,14.331276
2017,05-02-1845-43,-91.011055,14.364744
2017,05-02-2501-43,-91.009247,14.354005
2017,05-02-2553-43,-91.104233,14.376023
2017,05-02-2663-43,-91.063408,14.413327
2017,05-02-2831-43,-91.021675,14.317978
2017,05-02-2924-43,-91.02858,14.322941
2017,05-03-0238-43,-90.962807,14.084274
2017,05-03-0239-43,-90.901413,14.186843
2017,05-03-2317-43,-90.944366,14.232085
2017,05-04-0010-43,-90.954826,14.305548
2017,05-05-0007-43,-90.843521,14.209531
2017,05-05-0010-43,-90.795868,14.034458
2017,05-05-0271-43,-90.849518,14.202538
2017,05-05-0287-43,-90.859474,14.127144
2017,05-05-0292-43,-90.83049,14.223942
2017,05-05-0293-43,-90.830132,14.0331
2017,05-06-0021-43,-91.372887,14.287302
2017,05-06-0315-43,-91.354088,14.32045
2017,05-06-0323-43,-91.529388,14.043151
2017,05-06-0325-43,-91.324478,14.258368
2017,05-06-0345-43,-91.366653,14.31144
2017,05-07-0014-43,-91.068893,14.084564
2017,05-07-0015-43,-91.068176,14.100934
2017,05-07-0029-43,-91.113487,13.995736
2017,05-07-0030-43,-91.059601,14.106251
2017,05-07-0370-43,-91.051964,14.081963
2017,05-07-0373-43,-90.964302,14.16685
2017,05-07-0374-43,-91.156517,14.112688
2017,05-07-0385-43,-91.225113,14.008245
2017,05-07-2007-43,-91.05397,14.098587
2017,05-07-2773-43,-91.012978,14.073771
2017,05-08-0005-43,-90.624756,14.240047
2017,05-08-0057-43,-90.657013,14.213571
2017,05-08-0404-43,-90.64418,14.225578
2017,05-08-0406-43,-90.606285,14.231483
2017,05-08-0412-43,-90.580864,14.190058
2017,05-08-0418-43,-90.689354,14.242448
2017,05-09-0006-43,-90.882973,13.964132
2017,05-09-0008-43,-90.825813,13.923936
2017,05-09-0434-43,-90.936935,13.992736
2017,05-09-0443-43,-90.914703,13.917945
2017,05-09-0446-43,-90.890419,13.92643
2017,05-09-0450-43,-90.867134,13.933326
2017,05-09-0641-43,-90.854576,13.969518
2017,05-10-0015-43,-90.750504,13.935662
2017,05-10-0466-43,-90.822083,13.925336
2017,05-10-0593-43,-90.675972,13.97528
2017,05-11-0477-43,-90.696373,14.401244
2017,05-11-0481-43,-90.649574,14.438578
